iter	Passed	Remaining
0	3	2780
1	5	2637
2	8	2579
3	11	2481
4	13	2395
5	15	2355
6	17	2282
7	20	2232
8	22	2179
9	24	2152
10	26	2131
11	28	2104
12	30	2079
13	32	2049
14	34	2034
15	36	2017
16	38	2005
17	40	1993
18	42	1976
19	44	1962
20	46	1950
21	48	1938
22	50	1926
23	52	1912
24	54	1902
25	56	1896
26	58	1891
27	60	1878
28	62	1872
29	64	1864
30	66	1856
31	68	1854
32	70	1847
33	72	1840
34	74	1840
35	76	1835
36	78	1828
37	80	1826
38	82	1822
39	85	1836
40	87	1842
41	90	1843
42	92	1850
43	94	1844
44	96	1838
45	98	1834
46	100	1832
47	103	1837
48	105	1837
49	108	1843
50	110	1838
51	112	1833
52	114	1837
53	116	1831
54	119	1828
55	121	1835
56	124	1835
57	126	1832
58	128	1827
59	130	1823
60	132	1817
61	134	1813
62	136	1807
63	138	1813
64	140	1807
65	143	1814
66	145	1809
67	147	1804
68	149	1799
69	151	1798
70	154	1800
71	157	1806
72	159	1808
73	161	1805
74	164	1807
75	166	1808
76	169	1808
77	173	1823
78	175	1824
79	178	1829
80	181	1832
81	183	1831
82	186	1837
83	189	1841
84	192	1842
85	194	1843
86	198	1851
87	201	1855
88	205	1869
89	235	2115
90	246	2195
91	273	2399
92	293	2547
93	300	2572
94	313	2659
95	333	2791
96	352	2922
97	357	2925
98	376	3044
99	381	3048
100	385	3047
101	389	3046
102	393	3045
103	397	3039
104	401	3041
105	404	3029
106	407	3021
107	411	3016
108	414	3009
109	419	3012
110	423	3009
111	426	3004
112	430	2999
113	434	2992
114	437	2985
115	440	2974
116	444	2973
117	448	2972
118	451	2964
119	454	2955
120	458	2951
121	462	2946
122	465	2942
123	468	2934
124	472	2926
125	475	2920
126	478	2909
127	483	2913
128	486	2907
129	489	2898
130	491	2887
131	494	2878
132	498	2877
133	502	2873
134	506	2869
135	509	2859
136	512	2851
137	516	2852
138	520	2847
139	524	2846
140	526	2835
141	529	2825
142	531	2812
143	533	2799
144	535	2787
145	537	2774
146	539	2762
147	541	2751
148	543	2741
149	546	2732
150	548	2722
151	551	2712
152	553	2702
153	555	2691
154	557	2681
155	560	2670
156	562	2659
157	564	2648
158	565	2637
159	567	2626
160	569	2616
161	571	2605
162	573	2594
163	575	2583
164	577	2574
165	580	2565
166	582	2555
167	584	2546
168	586	2538
169	588	2529
170	591	2520
171	593	2510
172	595	2501
173	597	2493
174	599	2485
175	602	2478
176	604	2471
177	607	2463
178	609	2455
179	611	2446
180	613	2437
181	615	2428
182	617	2420
183	619	2412
184	622	2404
185	624	2396
186	626	2388
187	628	2380
188	631	2376
189	633	2368
190	636	2361
191	638	2353
192	640	2345
193	642	2338
194	644	2330
195	646	2323
196	649	2316
197	651	2308
198	653	2301
199	655	2294
200	657	2287
201	660	2280
202	662	2273
203	664	2267
204	666	2260
205	668	2253
206	670	2245
207	672	2238
208	675	2233
209	677	2225
210	679	2218
211	681	2212
212	684	2207
213	686	2200
214	688	2193
215	690	2187
216	692	2180
217	695	2174
218	697	2167
219	699	2161
220	701	2154
221	703	2148
222	705	2141
223	707	2136
224	709	2129
225	711	2123
226	714	2116
227	716	2110
228	718	2104
229	720	2098
230	722	2092
231	724	2086
232	726	2079
233	728	2073
234	730	2067
235	732	2062
236	734	2056
237	737	2050
238	739	2044
239	741	2038
240	743	2032
241	745	2026
242	747	2020
243	749	2015
244	751	2010
245	754	2004
246	756	1999
247	758	1993
248	760	1989
249	762	1983
250	765	1978
251	767	1972
252	769	1967
253	771	1963
254	773	1957
255	776	1952
256	778	1947
257	780	1942
258	782	1936
259	784	1930
260	786	1925
261	789	1921
262	791	1917
263	793	1912
264	796	1907
265	798	1902
266	800	1897
267	802	1892
268	804	1887
269	806	1882
270	808	1877
271	810	1872
272	812	1867
273	814	1861
274	817	1857
275	819	1851
276	821	1847
277	823	1841
278	825	1837
279	827	1832
280	829	1827
281	831	1822
282	833	1817
283	835	1812
284	837	1807
285	839	1802
286	841	1797
287	843	1792
288	845	1787
289	847	1783
290	849	1778
291	851	1773
292	853	1769
293	855	1764
294	858	1759
295	860	1755
296	862	1751
297	864	1747
298	866	1742
299	869	1738
300	871	1733
301	873	1728
302	875	1724
303	877	1720
304	879	1716
305	881	1711
306	883	1706
307	885	1702
308	887	1698
309	889	1693
310	892	1689
311	894	1685
312	896	1680
313	898	1676
314	900	1671
315	902	1667
316	904	1663
317	906	1659
318	909	1656
319	912	1653
320	914	1650
321	917	1646
322	920	1644
323	922	1640
324	925	1637
325	928	1634
326	930	1630
327	932	1625
328	935	1623
329	938	1620
330	940	1616
331	942	1612
332	944	1608
333	946	1604
334	948	1599
335	951	1597
336	953	1592
337	955	1588
338	957	1584
339	959	1580
340	961	1576
341	964	1572
342	966	1569
343	968	1566
344	971	1562
345	973	1558
346	975	1555
347	977	1551
348	980	1547
349	982	1543
350	985	1541
351	987	1537
352	989	1533
353	992	1530
354	994	1527
355	996	1523
356	999	1520
357	1002	1517
358	1004	1513
359	1006	1509
360	1008	1506
361	1010	1502
362	1012	1498
363	1014	1494
364	1017	1491
365	1019	1487
366	1021	1483
367	1023	1480
368	1026	1476
369	1028	1473
370	1030	1470
371	1033	1467
372	1035	1463
373	1038	1460
374	1040	1457
375	1043	1453
376	1044	1449
377	1046	1445
378	1050	1444
379	1052	1440
380	1055	1437
381	1057	1433
382	1059	1430
383	1061	1426
384	1063	1423
385	1066	1419
386	1068	1416
387	1070	1412
388	1072	1408
389	1074	1405
390	1077	1402
391	1079	1399
392	1082	1396
393	1084	1393
394	1087	1390
395	1089	1386
396	1091	1383
397	1093	1379
398	1096	1376
399	1099	1373
400	1101	1370
401	1103	1367
402	1105	1363
403	1107	1359
404	1109	1356
405	1111	1352
406	1113	1349
407	1115	1345
408	1117	1342
409	1120	1338
410	1122	1335
411	1124	1331
412	1126	1328
413	1128	1325
414	1130	1321
415	1133	1318
416	1135	1315
417	1137	1311
418	1139	1308
419	1141	1304
420	1143	1301
421	1145	1297
422	1147	1294
423	1149	1290
424	1151	1287
425	1153	1284
426	1156	1280
427	1158	1277
428	1160	1274
429	1162	1270
430	1164	1267
431	1167	1264
432	1169	1261
433	1171	1257
434	1173	1254
435	1175	1251
436	1178	1248
437	1180	1245
438	1182	1241
439	1184	1238
440	1186	1235
441	1189	1232
442	1191	1229
443	1194	1227
444	1197	1224
445	1200	1221
446	1202	1219
447	1206	1216
448	1208	1213
449	1210	1210
450	1212	1207
451	1215	1204
452	1217	1201
453	1219	1198
454	1221	1194
455	1223	1191
456	1226	1188
457	1228	1185
458	1230	1182
459	1232	1179
460	1234	1175
461	1236	1172
462	1238	1169
463	1240	1166
464	1242	1162
465	1245	1159
466	1247	1156
467	1249	1153
468	1251	1149
469	1253	1146
470	1255	1143
471	1258	1141
472	1260	1138
473	1263	1135
474	1265	1132
475	1267	1129
476	1270	1126
477	1272	1123
478	1275	1120
479	1277	1117
480	1280	1115
481	1282	1112
482	1284	1108
483	1286	1105
484	1289	1103
485	1291	1100
486	1293	1097
487	1296	1094
488	1299	1091
489	1301	1088
490	1303	1085
491	1305	1082
492	1308	1080
493	1310	1077
494	1312	1074
495	1315	1071
496	1317	1068
497	1319	1064
498	1321	1061
499	1323	1058
500	1325	1055
501	1327	1052
502	1329	1049
503	1331	1046
504	1333	1043
505	1335	1040
506	1338	1037
507	1340	1034
508	1342	1031
509	1344	1028
510	1346	1025
511	1348	1022
512	1350	1019
513	1352	1015
514	1355	1013
515	1357	1010
516	1359	1007
517	1361	1004
518	1363	1000
519	1365	997
520	1367	995
521	1369	991
522	1372	989
523	1374	986
524	1376	983
525	1378	980
526	1381	977
527	1383	974
528	1385	971
529	1387	968
530	1390	966
531	1392	963
532	1394	959
533	1396	956
534	1398	953
535	1400	950
536	1402	947
537	1405	945
538	1407	942
539	1409	939
540	1411	936
541	1413	933
542	1415	930
543	1418	927
544	1420	925
545	1422	922
546	1425	919
547	1426	916
548	1428	913
549	1430	910
550	1432	907
551	1434	904
552	1437	902
553	1440	899
554	1442	896
555	1443	893
556	1445	890
557	1447	887
558	1449	884
559	1452	881
560	1454	878
561	1456	876
562	1458	873
563	1460	870
564	1462	867
565	1464	864
566	1466	861
567	1469	858
568	1471	855
569	1473	852
570	1475	850
571	1477	847
572	1479	844
573	1481	841
574	1483	838
575	1485	835
576	1488	833
577	1490	830
578	1492	827
579	1494	824
580	1496	821
581	1498	818
582	1500	815
583	1502	813
584	1505	810
585	1506	807
586	1508	804
587	1511	801
588	1513	798
589	1514	795
590	1516	793
591	1518	790
592	1520	787
593	1522	784
594	1524	781
595	1526	778
596	1528	775
597	1530	772
598	1532	770
599	1534	767
600	1536	764
601	1538	761
602	1540	758
603	1542	756
604	1545	753
605	1547	750
606	1549	748
607	1551	745
608	1553	742
609	1555	739
610	1557	736
611	1559	733
612	1561	731
613	1563	728
614	1565	725
615	1567	722
616	1569	720
617	1572	717
618	1574	714
619	1575	711
620	1578	708
621	1580	706
622	1582	703
623	1584	700
624	1586	698
625	1588	695
626	1590	692
627	1592	689
628	1594	686
629	1596	684
630	1598	681
631	1600	678
632	1602	675
633	1604	673
634	1606	670
635	1609	667
636	1611	665
637	1613	662
638	1615	659
639	1617	657
640	1619	654
641	1621	651
642	1623	648
643	1625	646
644	1627	643
645	1629	640
646	1631	638
647	1633	635
648	1635	632
649	1637	629
650	1639	627
651	1641	624
652	1643	621
653	1645	619
654	1647	616
655	1649	613
656	1651	610
657	1653	608
658	1655	605
659	1657	602
660	1659	600
661	1661	597
662	1664	594
663	1666	592
664	1668	589
665	1670	586
666	1672	584
667	1674	581
668	1676	578
669	1678	576
670	1680	573
671	1682	571
672	1684	568
673	1687	565
674	1690	563
675	1692	560
676	1693	557
677	1696	555
678	1698	552
679	1700	550
680	1702	547
681	1704	544
682	1706	542
683	1708	539
684	1710	536
685	1712	534
686	1714	531
687	1716	528
688	1719	526
689	1721	523
690	1723	521
691	1725	518
692	1727	516
693	1729	513
694	1731	510
695	1734	508
696	1736	505
697	1738	503
698	1740	500
699	1742	497
700	1744	495
701	1746	492
702	1748	490
703	1751	487
704	1753	484
705	1755	482
706	1757	479
707	1759	477
708	1761	474
709	1764	472
710	1766	469
711	1768	466
712	1770	464
713	1772	461
714	1774	459
715	1776	456
716	1779	454
717	1781	451
718	1783	449
719	1785	446
720	1787	443
721	1790	441
722	1792	438
723	1794	436
724	1797	433
725	1799	431
726	1801	428
727	1803	426
728	1805	423
729	1807	420
730	1809	418
731	1811	415
732	1813	413
733	1816	410
734	1818	408
735	1820	405
736	1822	403
737	1824	400
738	1826	397
739	1828	395
740	1830	392
741	1832	390
742	1834	387
743	1836	385
744	1838	382
745	1840	380
746	1843	377
747	1845	375
748	1847	372
749	1849	369
750	1851	367
751	1853	364
752	1855	362
753	1857	359
754	1859	357
755	1862	354
756	1864	352
757	1866	349
758	1868	347
759	1870	344
760	1872	341
761	1874	339
762	1876	336
763	1878	334
764	1880	331
765	1882	329
766	1884	326
767	1886	324
768	1888	321
769	1890	319
770	1892	316
771	1894	314
772	1896	311
773	1898	309
774	1900	306
775	1902	304
776	1905	301
777	1906	299
778	1909	296
779	1911	294
780	1913	291
781	1915	289
782	1917	286
783	1919	283
784	1921	281
785	1923	278
786	1925	276
787	1927	273
788	1929	271
789	1931	268
790	1933	266
791	1935	263
792	1937	261
793	1939	258
794	1941	256
795	1943	253
796	1945	251
797	1947	248
798	1950	246
799	1952	244
800	1954	241
801	1955	239
802	1958	236
803	1960	234
804	1962	231
805	1964	229
806	1966	226
807	1968	224
808	1970	221
809	1972	219
810	1975	216
811	1977	214
812	1979	211
813	1981	209
814	1983	206
815	1986	204
816	1988	201
817	1990	199
818	1992	197
819	1994	194
820	1996	192
821	1998	189
822	2000	187
823	2002	184
824	2004	182
825	2006	179
826	2008	177
827	2010	174
828	2012	172
829	2015	169
830	2017	167
831	2018	165
832	2021	162
833	2023	160
834	2026	157
835	2028	155
836	2030	152
837	2031	150
838	2033	147
839	2035	145
840	2037	142
841	2040	140
842	2042	138
843	2044	135
844	2046	133
845	2048	130
846	2050	128
847	2052	125
848	2054	123
849	2057	121
850	2058	118
851	2060	116
852	2062	113
853	2064	111
854	2066	108
855	2068	106
856	2071	103
857	2073	101
858	2075	99
859	2077	96
860	2079	94
861	2081	91
862	2082	89
863	2084	86
864	2086	84
865	2089	82
866	2090	79
867	2092	77
868	2095	74
869	2097	72
870	2099	69
871	2101	67
872	2103	65
873	2105	62
874	2107	60
875	2109	57
876	2111	55
877	2113	52
878	2115	50
879	2117	48
880	2119	45
881	2121	43
882	2123	40
883	2125	38
884	2127	36
885	2129	33
886	2131	31
887	2133	28
888	2135	26
889	2137	24
890	2139	21
891	2141	19
892	2143	16
893	2145	14
894	2147	11
895	2149	9
896	2151	7
897	2153	4
898	2155	2
899	2158	0
