prefixo,nome,transmissao,valor_leitura_flu,valor,intervalo
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71707.5,,2018-01-01 02:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71705.2,,2018-01-01 02:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71703.695,,2018-01-01 02:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71702.0,,2018-01-01 02:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71700.3,,2018-01-01 02:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71699.2,,2018-01-01 02:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71697.6,,2018-01-01 03:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71695.9,,2018-01-01 03:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71695.4,,2018-01-01 03:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71693.7,,2018-01-01 03:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71692.6,,2018-01-01 03:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71691.6,,2018-01-01 03:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71690.4,,2018-01-01 04:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71688.8,,2018-01-01 04:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71687.2,,2018-01-01 04:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71685.5,,2018-01-01 04:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71683.805,,2018-01-01 04:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71682.7,,2018-01-01 04:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71681.09,,2018-01-01 05:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71679.9,,2018-01-01 05:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71678.805,,2018-01-01 05:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71678.805,,2018-01-01 05:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71677.805,,2018-01-01 05:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71676.7,,2018-01-01 05:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71675.5,,2018-01-01 06:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71674.5,,2018-01-01 06:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71674.4,,2018-01-01 06:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71673.4,,2018-01-01 06:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71672.305,,2018-01-01 06:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71671.1,,2018-01-01 06:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71671.1,,2018-01-01 07:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71671.1,,2018-01-01 07:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71671.1,,2018-01-01 07:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71671.1,,2018-01-01 07:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71672.305,,2018-01-01 07:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71672.305,,2018-01-01 07:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71671.1,,2018-01-01 08:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71672.305,,2018-01-01 08:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71672.305,,2018-01-01 08:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71671.1,,2018-01-01 08:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71671.195,,2018-01-01 08:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71670.1,,2018-01-01 08:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71669.1,,2018-01-01 09:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71669.1,,2018-01-01 09:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71668.0,,2018-01-01 09:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71668.0,,2018-01-01 09:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71668.0,,2018-01-01 09:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71668.1,,2018-01-01 09:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71666.0,,2018-01-01 10:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71665.0,,2018-01-01 10:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71663.8,,2018-01-01 10:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71662.59,,2018-01-01 10:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71662.59,,2018-01-01 10:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71661.4,,2018-01-01 10:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71660.305,,2018-01-01 11:00:00 UTC
