prefixo,nome,transmissao,valor_leitura_flu,valor,intervalo
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71780.7,,2018-10-01 03:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71775.2,,2018-10-01 03:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71769.1,,2018-10-01 03:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71763.6,,2018-10-01 03:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71758.195,,2018-10-01 03:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71753.195,,2018-10-01 03:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71748.3,,2018-10-01 04:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71743.8,,2018-10-01 04:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71738.9,,2018-10-01 04:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71735.6,,2018-10-01 04:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71732.3,,2018-10-01 04:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71728.5,,2018-10-01 04:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71725.09,,2018-10-01 05:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71721.805,,2018-10-01 05:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71718.5,,2018-10-01 05:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71715.195,,2018-10-01 05:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71711.9,,2018-10-01 05:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71709.195,,2018-10-01 05:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71706.5,,2018-10-01 06:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71703.695,,2018-10-01 06:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71700.9,,2018-10-01 06:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71698.8,,2018-10-01 06:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71696.5,,2018-10-01 06:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71693.8,,2018-10-01 06:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71691.6,,2018-10-01 07:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71688.8,,2018-10-01 07:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71687.7,,2018-10-01 07:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71685.6,,2018-10-01 07:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71684.4,,2018-10-01 07:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71683.3,,2018-10-01 07:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71682.2,,2018-10-01 08:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71681.7,,2018-10-01 08:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71681.2,,2018-10-01 08:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71680.0,,2018-10-01 08:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71678.9,,2018-10-01 08:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71678.9,,2018-10-01 08:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71677.9,,2018-10-01 09:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71676.8,,2018-10-01 09:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71675.6,,2018-10-01 09:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71674.59,,2018-10-01 09:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71673.5,,2018-10-01 09:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71672.4,,2018-10-01 09:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71671.195,,2018-10-01 10:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71670.1,,2018-10-01 10:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71670.2,,2018-10-01 10:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71669.1,,2018-10-01 10:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71669.1,,2018-10-01 10:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71669.1,,2018-10-01 10:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71669.0,,2018-10-01 11:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71669.1,,2018-10-01 11:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71669.1,,2018-10-01 11:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71670.1,,2018-10-01 11:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71670.2,,2018-10-01 11:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71670.1,,2018-10-01 11:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71670.1,,2018-10-01 12:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71670.1,,2018-10-01 12:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71669.1,,2018-10-01 12:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71669.1,,2018-10-01 12:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71669.1,,2018-10-01 12:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71668.0,,2018-10-01 12:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71668.0,,2018-10-01 13:00:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71668.0,,2018-10-01 13:10:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71669.1,,2018-10-01 13:20:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71669.1,,2018-10-01 13:30:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71670.2,,2018-10-01 13:40:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71672.4,,2018-10-01 13:50:00 UTC
413,Rio Tamanduateí - Mercado Municipal,WEBSERVICE,71674.59,,2018-10-01 14:00:00 UTC
