,valor_leitura_flu_413
0,71665.695
1,71664.6
2,71664.6
3,71665.695
4,71664.6
5,71664.6
6,71664.6
7,71664.6
8,71665.695
9,71665.695
10,71665.695
11,71665.695
12,71665.695
13,71665.805
14,71664.6
15,71665.805
16,71665.805
17,71663.5
18,71663.5
19,71663.5
20,71662.41
21,71661.3
22,71659.1
23,71660.195
24,71659.1
25,71656.9
26,71655.9
27,71654.7
28,71654.7
29,71653.6
30,71652.5
31,71652.5
32,71652.5
33,71653.6
34,71653.6
35,71653.6
36,71653.6
37,71653.6
38,71653.6
39,71652.5
40,71652.5
41,71651.5
42,71651.4
43,71651.5
44,71650.3
45,71649.2
46,71649.2
47,71649.2
48,71648.2
49,71647.195
50,71646.1
51,71645.1
52,71644.0
53,71641.805
54,71641.7
55,71641.7
56,71639.6
57,71639.6
58,71638.4
59,71638.4
60,71638.4
61,71638.4
62,71638.4
63,71637.3
64,71638.4
65,71639.5
66,71639.4
67,71640.4
68,71640.5
69,71640.4
70,71640.4
71,71639.3
72,71640.4
73,71640.4
74,71640.305
75,71641.4
76,71641.4
77,71642.5
78,71643.59
79,71644.7
80,71648.0
81,71648.0
82,71649.8
83,71650.09
84,71650.2
85,71650.09
86,71649.0
87,71650.09
88,71650.09
89,71650.09
90,71651.3
91,71648.9
92,71650.0
93,71650.0
94,71651.1
95,71651.1
96,71652.195
97,71651.1
98,71651.1
99,71651.1
100,71652.305
101,71653.305
102,71653.305
103,71654.6
104,71656.7
105,71656.7
106,71659.0
107,71660.1
108,71657.8
109,71659.0
110,71659.0
111,71660.0
112,71673.3
113,71701.9
114,71768.1
115,71806.3
116,71811.3
117,71809.695
118,71827.195
119,71859.1
120,71868.7
121,71859.805
122,71840.1
123,71818.1
124,71798.3
125,71782.4
126,71769.1
127,71759.805
128,71753.195
129,71748.3
130,71745.0
131,71741.6
132,71738.3
133,71736.6
134,71734.5
135,71732.2
136,71730.0
137,71727.805
138,71725.09
139,71724.0
140,71721.805
141,71720.1
142,71717.4
143,71715.195
144,71713.0
145,71710.8
146,71708.5
147,71705.8
148,71703.6
149,71701.4
150,71698.7
151,71695.9
152,71693.2
153,71690.4
154,71688.3
155,71685.5
156,71683.195
157,71682.1
158,71679.9
159,71678.805
160,71676.7
161,71674.5
162,71673.4
163,71671.1
164,71670.1
165,71667.9
166,71666.7
167,71664.5
168,71663.5
169,71660.195
170,71660.195
171,71659.1
172,71657.9
173,71656.9
174,71655.8
175,71655.8
176,71654.6
177,71654.6
178,71654.6
179,71654.6
180,71654.6
181,71654.6
182,71653.6
183,71653.6
184,71653.6
185,71653.6
186,71653.6
187,71653.6
188,71653.6
189,71652.5
190,71652.5
191,71651.6
192,71650.6
193,71648.5
194,71647.4
195,71645.2
196,71643.91
197,71642.8
198,71642.8
199,71642.8
200,71641.7
201,71641.6
202,71640.5
203,71641.6
204,71640.5
205,71640.5
206,71640.4
207,71641.5
208,71640.305
209,71642.5
210,71642.5
211,71642.6
212,71643.59
213,71643.59
214,71643.5
215,71644.6
216,71645.695
217,71644.7
218,71647.0
219,71645.8
220,71646.9
221,71647.9
222,71649.0
223,71651.3
224,71652.305
225,71655.6
226,71656.5
227,71657.8
228,71657.8
229,71657.8
230,71660.0
231,71660.0
232,71660.0
233,71660.0
234,71660.0
235,71661.1
236,71659.9
237,71660.0
238,71659.9
239,71658.9
240,71658.805
241,71658.805
242,71658.805
243,71657.6
244,71657.6
245,71657.6
246,71656.41
247,71656.41
248,71657.6
249,71657.6
250,71657.6
251,71657.5
252,71658.6
253,71660.6
254,71660.7
255,71660.7
256,71658.6
257,71660.7
258,71662.0
259,71663.1
260,71663.2
261,71664.3
262,71664.3
263,71665.4
264,71665.4
265,71665.4
266,71665.4
267,71666.5
268,71666.5
269,71665.4
270,71668.8
271,71718.91
272,71779.0
273,71812.91
274,71830.3
275,71839.2
276,71841.5
277,71839.2
278,71833.805
279,71825.0
280,71815.695
281,71805.9
282,71794.8
283,71783.9
284,71772.805
285,71762.91
286,71754.1
287,71745.9
288,71738.1
289,71732.1
290,71726.0
291,71720.6
292,71716.195
293,71711.8
294,71708.4
295,71705.2
296,71701.9
297,71699.7
298,71697.0
299,71694.2
300,71691.5
301,71688.8
302,71685.5
303,71682.7
304,71681.0
305,71678.6
306,71675.41
307,71674.4
308,71673.3
309,71672.195
310,71671.0
311,71670.0
312,71670.0
313,71670.0
314,71668.91
315,71668.91
316,71667.8
317,71666.7
318,71665.6
319,71664.5
320,71663.5
321,71662.3
322,71661.2
323,71661.2
324,71660.195
325,71659.1
326,71659.1
327,71659.1
328,71657.9
329,71657.9
330,71656.9
331,71656.9
332,71656.9
333,71655.8
334,71655.8
335,71655.8
336,71654.6
337,71654.6
338,71653.6
339,71653.6
340,71652.6
341,71651.6
342,71649.5
343,71648.5
344,71647.195
345,71646.195
346,71646.1
347,71645.0
348,71645.0
349,71644.9
350,71645.9
351,71645.9
352,71644.8
353,71645.9
354,71646.9
355,71646.9
356,71647.9
357,71650.09
358,71652.4
359,71653.4
360,71654.6
361,71657.9
362,71659.1
363,71660.0
364,71661.2
365,71661.1
366,71661.1
367,71662.2
368,71662.2
369,71661.1
370,71662.09
371,71661.0
372,71662.0
373,71663.2
374,71660.8
375,71664.2
376,71666.5
377,71666.5
378,71667.7
379,71667.7
380,71667.8
381,71666.7
382,71665.5
383,71664.4
384,71663.3
385,71663.2
386,71665.305
387,71660.9
388,71659.695
389,71660.7
390,71663.0
391,71656.3
392,71662.91
393,71671.695
394,71674.0
395,71671.9
396,71670.9
397,71669.8
398,71668.59
399,71667.5
400,71667.5
401,71666.4
402,71666.4
403,71667.5
404,71667.5
405,71663.2
406,71669.7
407,71707.6
408,71730.2
409,71741.195
410,71744.6
411,71740.805
412,71733.695
413,71725.5
414,71716.7
415,71710.1
416,71704.1
417,71699.7
418,71698.1
419,71698.1
420,71698.1
421,71699.2
422,71700.3
423,71700.9
424,71704.7
425,71710.8
426,71718.5
427,71727.805
428,71736.1
429,71742.7
430,71745.4
431,71746.0
432,71744.9
433,71742.7
434,71739.4
435,71735.5
436,71732.2
437,71728.4
438,71725.7
439,71723.0
440,71720.1
441,71717.9
442,71715.695
443,71713.6
444,71711.3
445,71709.695
446,71708.1
447,71705.8
448,71705.3
449,71703.1
450,71700.9
451,71699.2
452,71698.1
453,71696.5
454,71694.8
455,71692.6
456,71691.0
457,71689.9
458,71687.2
459,71686.0
460,71684.305
461,71682.2
462,71681.09
463,71678.9
464,71677.805
465,71675.6
466,71673.4
467,71672.305
468,71671.1
469,71669.0
470,71667.9
471,71666.805
472,71665.695
473,71664.5
474,71662.41
475,71661.3
476,71660.195
477,71660.195
478,71659.1
479,71658.0
480,71658.0
481,71656.9
482,71656.9
483,71657.0
484,71655.8
485,71654.7
486,71654.7
487,71649.4
488,71653.6
489,71652.6
490,71652.6
491,71651.4
492,71652.5
493,71652.5
494,71652.6
495,71651.5
496,71650.41
497,71649.3
498,71649.4
499,71649.4
500,71649.3
501,71648.3
502,71649.2
503,71650.41
504,71650.3
505,71651.4
506,71652.5
507,71652.5
508,71653.6
509,71654.6
510,71655.8
511,71659.1
512,71657.7
513,71660.1
514,71660.0
515,71661.1
516,71661.0
517,71659.805
518,71656.41
519,71658.6
520,71672.9
521,71869.5
522,72031.7
523,72098.7
524,72121.305
525,72115.9
526,72101.6
527,72086.8
528,72073.7
529,72066.6
530,72061.7
531,72055.6
532,72048.6
533,72040.305
534,72029.9
535,72016.6
536,72001.8
537,71988.0
538,71972.0
539,71955.4
540,71937.8
541,71917.9
542,71900.3
543,71885.0
544,71881.0
545,71899.2
546,71915.195
547,71922.305
548,71924.1
549,71925.8
550,71928.0
551,71929.7
552,71932.4
553,71932.4
554,71930.1
555,71928.0
556,71923.1
557,71918.1
558,71912.0
559,71903.9
560,71896.695
561,71887.3
562,71878.0
563,71868.1
564,71857.6
565,71845.5
566,71835.0
567,71824.1
568,71813.0
569,71803.9
570,71795.5
571,71787.09
572,71779.5
573,71773.5
574,71767.9
575,71764.1
576,71763.0
577,71766.805
578,71771.9
579,71775.6
580,71780.1
581,71791.6
582,71805.9
583,71820.9
584,71835.1
585,71846.6
586,71856.0
587,71861.5
588,71863.1
589,71862.09
590,71859.805
591,71856.0
592,71850.0
593,71843.4
594,71836.8
595,71831.3
596,71824.1
597,71817.6
598,71810.8
599,71802.695
600,71794.9
601,71787.3
602,71779.0
603,71771.305
604,71763.1
605,71755.8
606,71748.3
607,71741.0
608,71735.0
609,71729.5
610,71724.5
611,71719.6
612,71715.695
613,71711.9
614,71709.195
615,71706.41
616,71703.695
617,71700.8
618,71698.7
619,71697.0
620,71694.8
621,71694.3
622,71695.4
623,71698.7
624,71702.5
625,71708.5
626,71718.91
627,71731.09
628,71743.8
629,71756.41
630,71772.9
631,71794.4
632,71819.7
633,71846.695
634,71872.0
635,71892.9
636,71910.4
637,71922.305
638,71929.7
639,71934.695
640,71936.4
641,71935.305
642,71933.195
643,71930.4
644,71927.0
645,71923.2
646,71917.8
647,71911.7
648,71904.5
649,71897.305
650,71890.195
651,71882.0
652,71873.2
653,71864.3
654,71855.5
655,71846.305
656,71837.91
657,71829.7
658,71821.0
659,71812.09
660,71804.9
661,71797.805
662,71790.6
663,71783.5
664,71777.195
665,71771.805
666,71765.805
667,71760.8
668,71755.7
669,71752.0
670,71748.1
671,71744.8
672,71740.9
673,71738.2
674,71735.4
675,71732.7
676,71730.0
677,71728.195
678,71726.6
679,71724.91
680,71723.2
681,71721.1
682,71719.4
683,71717.8
684,71716.7
685,71715.6
686,71714.5
687,71713.4
688,71711.8
689,71710.7
690,71710.1
691,71709.0
692,71708.4
693,71708.4
694,71707.3
695,71706.8
696,71706.8
697,71706.3
698,71706.3
699,71705.7
700,71705.2
701,71705.2
702,71703.0
703,71703.0
704,71701.9
705,71701.9
706,71701.3
707,71705.2
708,71726.0
709,71763.2
710,71793.7
711,71814.695
712,71827.9
713,71834.5
714,71836.1
715,71834.0
716,71829.6
717,71823.0
718,71814.1
719,71805.4
720,71797.6
721,71790.5
722,71782.8
723,71775.7
724,71767.9
725,71759.805
726,71755.8
727,71752.6
728,71755.8
729,71763.6
730,71772.9
731,71775.09
732,71770.695
733,71765.805
734,71764.2
735,71765.805
736,71770.695
737,71774.1
738,71776.8
739,71776.3
740,71773.6
741,71769.6
742,71765.195
743,71760.195
744,71755.3
745,71751.0
746,71746.5
747,71741.6
748,71737.8
749,71733.4
750,71730.1
751,71726.2
752,71723.4
753,71720.695
754,71717.9
755,71714.6
756,71712.5
757,71709.6
758,71706.9
759,71704.2
760,71701.4
761,71698.7
762,71695.9
763,71693.7
764,71691.6
765,71689.9
766,71688.8
767,71688.4
768,71686.9
769,71684.695
770,71683.695
771,71680.3
772,71679.1
773,71678.0
774,71675.8
775,71673.6
776,71672.5
777,71671.4
778,71670.3
779,71668.1
780,71668.1
781,71667.0
782,71665.805
783,71666.805
784,71666.7
785,71666.7
786,71666.805
787,71666.7
788,71665.6
789,71665.5
790,71667.8
791,71667.8
792,71668.91
793,71668.91
794,71669.5
795,71670.0
796,71669.8
797,71673.1
798,71673.1
799,71675.41
800,71676.6
801,71676.4
802,71678.5
803,71678.5
804,71681.9
805,71683.695
806,71685.4
807,71685.9
808,71685.305
809,71685.8
810,71686.4
811,71685.4
812,71685.9
813,71684.805
814,71684.305
815,71684.305
816,71682.0
817,71681.41
818,71679.9
819,71677.6
820,71676.6
821,71675.3
822,71673.1
823,71673.0
824,71673.0
825,71673.0
826,71673.0
827,71673.0
828,71672.0
829,71672.0
830,71668.59
831,71669.6
832,71669.6
833,71670.695
834,71670.8
835,71670.8
836,71671.9
837,71670.9
838,71667.6
839,71673.0
840,71726.4
841,71793.59
842,71840.305
843,71885.4
844,71941.6
845,71982.3
846,71999.91
847,72006.0
848,72007.7
849,72007.8
850,72008.805
851,72013.2
852,72017.7
853,72022.6
854,72026.5
855,72027.6
856,72025.41
857,72020.0
858,72012.3
859,72001.8
860,71989.6
861,71976.5
862,71961.0
863,71945.5
864,71929.8
865,71914.9
866,71898.4
867,71884.0
868,71869.7
869,71857.0
870,71845.0
871,71833.4
872,71823.5
873,71814.1
874,71805.9
875,71796.5
876,71788.8
877,71782.2
878,71775.6
879,71769.5
880,71763.5
881,71757.5
882,71752.6
883,71747.6
884,71742.6
885,71738.2
886,71733.3
887,71729.5
888,71725.6
889,71721.695
890,71717.3
891,71714.6
892,71711.5
893,71708.1
894,71705.8
895,71703.6
896,71700.8
897,71698.1
898,71697.0
899,71694.2
900,71692.0
901,71688.8
902,71687.59
903,71685.5
904,71683.805
905,71682.8
906,71682.2
907,71681.6
908,71681.09
909,71681.2
910,71681.2
911,71681.3
912,71679.2
913,71677.0
914,71676.0
915,71674.91
916,71673.7
917,71672.5
918,71671.4
919,71671.5
920,71671.4
921,71670.3
922,71670.3
923,71670.2
924,71671.195
925,71671.195
926,71672.4
927,71673.4
928,71675.5
929,71677.695
930,71679.9
931,71681.09
932,71682.7
933,71683.1
934,71683.695
935,71685.4
936,71686.4
937,71685.9
938,71687.59
939,71685.9
940,71688.1
941,71688.0
942,71688.0
943,71689.695
944,71689.695
945,71690.695
946,71689.6
947,71689.695
948,71687.91
949,71687.41
950,71687.41
951,71685.195
952,71684.6
953,71681.41
954,71682.5
955,71680.8
956,71680.8
957,71679.7
958,71679.7
959,71678.4
960,71678.4
961,71677.4
962,71677.4
963,71678.4
964,71678.4
965,71677.305
966,71677.305
967,71676.2
968,71676.2
969,71676.1
970,71676.2
971,71675.09
972,71675.09
973,71675.09
974,71675.0
975,71675.0
976,71675.0
977,71675.0
978,71673.9
979,71672.805
980,71672.805
981,71671.695
982,71671.695
983,71670.695
984,71670.695
985,71669.6
986,71669.6
987,71670.695
988,71671.9
989,71671.9
990,71673.0
991,71673.0
992,71673.0
993,71674.1
994,71674.2
995,71674.2
996,71675.3
997,71675.3
998,71676.4
999,71676.4
1000,71677.5
1001,71678.6
1002,71678.6
1003,71678.6
1004,71678.6
1005,71678.6
1006,71678.6
1007,71678.6
1008,71677.6
1009,71677.6
1010,71677.6
1011,71676.5
1012,71676.6
1013,71675.41
1014,71674.3
1015,71674.3
1016,71674.3
1017,71672.1
1018,71672.1
1019,71673.3
1020,71672.195
1021,71672.195
1022,71671.0
1023,71671.0
1024,71671.0
1025,71670.0
1026,71668.91
1027,71668.91
1028,71667.8
1029,71666.7
1030,71666.7
1031,71665.6
1032,71665.6
1033,71664.5
1034,71663.5
1035,71664.5
1036,71664.5
1037,71663.5
1038,71663.5
1039,71664.5
1040,71664.5
1041,71665.6
1042,71665.6
1043,71665.6
1044,71665.6
1045,71664.5
1046,71664.6
1047,71664.5
1048,71663.5
1049,71662.3
1050,71661.3
1051,71661.2
1052,71661.3
1053,71661.2
1054,71661.3
1055,71661.3
1056,71661.5
1057,71658.3
1058,71657.2
1059,71656.0
1060,71653.695
1061,71652.695
1062,71652.695
1063,71651.4
1064,71651.4
1065,71651.4
1066,71650.3
1067,71649.2
1068,71650.41
1069,71649.3
1070,71649.3
1071,71649.2
1072,71650.3
1073,71650.3
1074,71650.3
1075,71652.5
1076,71652.5
1077,71653.5
1078,71654.6
1079,71655.6
1080,71659.0
1081,71659.0
1082,71657.8
1083,71660.0
1084,71659.4
1085,71660.0
1086,71660.0
1087,71660.0
1088,71661.1
1089,71661.0
1090,71662.09
1091,71663.2
1092,71664.3
1093,71665.4
1094,71664.4
1095,71665.4
1096,71664.4
1097,71664.4
1098,71664.3
1099,71664.2
1100,71665.305
1101,71666.5
1102,71666.4
1103,71667.4
1104,71663.0
1105,71654.1
1106,71669.4
1107,71745.3
1108,71936.0
1109,72095.3
1110,72180.2
1111,72221.9
1112,72244.3
1113,72253.5
1114,72250.5
1115,72236.0
1116,72209.195
1117,72181.7
1118,72155.8
1119,72134.4
1120,72113.5
1121,72094.8
1122,72075.5
1123,72057.4
1124,72039.805
1125,72021.695
1126,72005.6
1127,71988.6
1128,71973.0
1129,71957.2
1130,71942.9
1131,71928.1
1132,71913.7
1133,71899.4
1134,71886.2
1135,71872.4
1136,71860.9
1137,71849.4
1138,71839.4
1139,71829.5
1140,71821.0
1141,71813.1
1142,71805.9
1143,71798.8
1144,71793.2
1145,71786.7
1146,71781.7
1147,71776.2
1148,71771.195
1149,71766.305
1150,71761.8
1151,71757.0
1152,71753.695
1153,71750.3
1154,71746.5
1155,71742.6
1156,71739.9
1157,71736.1
1158,71733.195
1159,71729.5
1160,71726.7
1161,71724.0
1162,71721.195
1163,71719.0
1164,71716.195
1165,71714.6
1166,71712.5
1167,71709.6
1168,71707.5
1169,71705.2
1170,71703.1
1171,71702.0
1172,71700.8
1173,71699.2
1174,71698.1
1175,71697.0
1176,71695.9
1177,71695.4
1178,71694.3
1179,71693.7
1180,71692.6
1181,71691.0
1182,71689.9
1183,71688.8
1184,71687.7
1185,71686.6
1186,71685.6
1187,71684.805
1188,71683.195
1189,71681.6
1190,71679.9
1191,71678.9
1192,71677.805
1193,71676.7
1194,71675.6
1195,71675.6
1196,71674.5
1197,71674.5
1198,71673.4
1199,71673.5
1200,71672.4
1201,71672.4
1202,71672.4
1203,71671.305
1204,71671.305
1205,71669.2
1206,71667.0
