NÍVEL,Longitude,Latitude,Radar X,Radar Y,Endereço,Rede Telemétrica,
1000370 - RIBEIRÃO DOS COUROS - PIRAPORINHA CASA GRANDE,"-46,586149","-23,69609",88,125,Av. Casa Grande.,Alto Tietê,
1000410 - Ribeirão dos Couros - Mercedes Paulicéia,"-46,577271","-23,669418",89,124,"Rua Giácomo Gobato, Km 16 Via Anchieta",Alto Tietê,
1000430 - RIBEIRÃO DOS COUROS - FORD,"-46,585491","-23,652025",88,123,Av.Taboão x ponte do Rib. dos Couros,Alto Tietê,Tem numerações 1000430 e 1000610 no site do DAEE
1000490 - RIO TAMANDUATEÍ - VILA SANTA CECILIA,"-46,47238","-23,656435",94,123,Av.Alberto Soares Sampaio,Alto Tietê,
1000580 - RIBEIRÃO DOS MENINOS - VOLKS DEMARCH,"-46,552189","-23,733222",90,127,Av.Servidel Demarchi 1241,Alto Tietê,
1000610 - RIBEIRÃO DOS COUROS - FORD,"-46,585491","-23,652025",88,123,Av.Taboão x ponte do Rib. dos Couros,Alto Tietê,Tem numerações 1000430 e 1000610 no site do DAEE
1000817 - Ribeirão Vermelho - Anhanguera,"-46,755819","-23,49195",79,114,Estrada Turistica do Jaraguá - Saída da Rod. Anhanguera saída Km 14.,Alto Tietê,
1000958 - Rio Tamanduateí - Montante AT -09 Guamiranga,"-46,588237","-23,589799",0,0,"Av. Dr. Francisco Mesquita, 600 em Frente ao DAEE",Alto Tietê,
1000959 - Rio Tamanduateí - Jusante AT -09 Guamiranga,"-46,592951","-23,587659",0,0,Av. Dr. Francisco Mesquita - Ac.pelo retorno da Av. Prof. Luiz I. Anhaia Mello,Alto Tietê,
143 - Rio Tamanduateí - Prosperidade,"-46,544628","-23,61085",90,12,Avenida dos Estados x Rua do Ouro,Alto Tietê,
157 - RIO ARICANDUVA - FOZ,"-46,547165","-23,537221",90,116,Rua Alfredo Frazão,Alto Tietê,
279 - Ribeirão dos Couros - Jd Taboão,"-46,58624978","-23,64777694",88,122,Rua Angelina S. Feriani - Bairro Taboão - 09870-010 - Próx. a TC Logística e transporte entre Kms 12 e 13 da Anchieta,Alto Tietê,
280 - Córrego Oratório - Vila Prudente,"-46,544318","-23,608315",90,12,Rua São José com Barbeiro de Servilha com a Rua Costa Barros - Vila Prudente - SP,Alto Tietê,
283 - Rio Tamanduateí - Vd. Pacheco Chaves,"-46,59946381","-23,58216937",88,119,Cruzamento do Viaduto Pacheco Chaves com Av. do Estado - CEP: 03126-040,Alto Tietê,
413 - Rio Tamanduateí - Mercado Municipal,"-46,628423","-23,541539",86,117,Mercado Municipal,Alto Tietê,
528 - Córrego Água Espraiada - Cabeceira,"-46,648478","-23,654099",85,123,"Rua Genaro de Carvalho, 398 - Casa de Material de Construção",Alto Tietê,
563 - Córrego Ipiranga - Pç. Leonor Kaupa,"-46,627853","-23,619963",-9999,-9999,Av. Abraão de Morais x Rua General Chagas Santos,Alto Tietê,
629 - Córrego Moinho Velho - R. Dois de Julho,"-46,597368","-23,595544",81,117,Rua das Juntas Provisórias x Rua 02 de Julho,Alto Tietê,
