,,,,,,,,,,,,
Dentro da bacia mesmo?,Estações/Ano,2018,2019,2020,2021,2022,2023,Geral (2018-2022),Geral(2023),Estações,Selecionada,Estações de chuva selecionadas
sim,143,"0,20","0,00","4,26","12,72","2,02","0,00","3,84","0,00",143,sim,143
sim,279,"0,00","0,77","39,84","12,66","37,21","0,00","18,14","0,00",279,,
sim,280,"0,02","1,13","0,92","12,89","89,45","5,90","20,84","5,90",280,,
sim,283,"0,02","0,08","1,50","14,42","1,14","0,06","3,43","0,06",283,sim,283
sim,413,"0,01","0,00","1,09","11,93","1,14","0,00","2,83","0,00",413,sim,413
sim,511,"0,01","0,00","0,99","12,01","1,14","0,00","2,83","0,00",511,sim,511
sim,514,"0,02","0,00","1,24","12,79","1,29","1,16","3,06","1,16",514,sim,514
sim,563,"0,01","0,00","0,97","12,45","1,14","0,00","2,91","0,00",563,sim,563
sim,629,"0,01","0,00","7,24","12,81","4,06","0,00","4,83","0,00",629,sim,629
sim,1000350,"2,26","48,28","1,08","13,83","1,14","0,00","13,29","0,00",1000350,,
sim,1000370,"0,04","4,70","1,63","12,79","89,45","3,03","21,68","3,03",1000370,,
sim,1000380,"0,08","0,05","5,11","12,19","89,45","45,49","21,34","45,49",1000380,,
sim,1000400,"0,05","0,02","1,17","12,38","89,45","45,55","20,57","45,55",1000400,,
sim,1000410,"0,02","0,08","1,24","12,08","89,45","0,00","20,53","0,00",1000410,,
sim,1000430,"0,08","0,06","4,90","13,50","89,45","0,00","21,56","0,00",1000430,,
sim,1000490,"0,03","0,05","12,27","12,70","89,45","0,00","22,88","0,00",1000490,,
sim,1000500,"0,00","0,00","1,29","12,09","1,75","0,00","3,02","0,00",1000500,sim,1000500
sim,1000510,"0,00","0,00","1,11","11,97","1,14","0,00","2,84","0,00",1000510,sim,1000510
sim,1000550,"2,26","49,97","1,55","13,89","1,14","46,09","13,73","46,09",1000550,,
sim,1000868,"0,00","0,00","0,95","12,12","1,14","0,00","2,84","0,00",1000868,sim,1000868
sim,1000958,"0,00","0,06","11,58","12,87","24,16","0,00","9,74","0,00",1000958,,
,,,,,,,,,,,,
,Não pertencem à bacia de fato (de acordo com análise da Livia das coordenadas das estações e da fronteira do arquivo Agência Nacional de Águas):,,,,,,,,,,,
,157,,,,,,,,,,,
,528,,,,,,,,,,2,
,1000817,,,,,,,,,,,
,1000938,,,,,,,,,,,
