posto,lon,lat,nome,minDate,Código API - PLU,Código API - FLU
143,-46.544.628,-2.361.085,Rio Tamanduateí - Prosperidade,2006-11-01 00:07:18.0,33738,33737
275,-46.614.164,-23.581.933,Córrego Ipiranga- Rua Coronel Diogo,2007-05-28 15:51:37.0,-------------------------,-------------------------
279,-465.862.497.846,-236.477.769.426,Ribeirão dos Couros - Jd Taboão,2006-12-05 18:15:06.0,33750,33751
280,-46.544.318,-23.608.315,Córrego Oratório - Vila Prudente,2007-07-10 19:12:55.0,33753,33752
283,-465.994.638.065,-235.821.693.701,Rio Tamanduateí - Vd. Pacheco Chaves,2007-08-06 16:30:00.0,33754,33755
400,-46.532.528,-23.752.079,Riacho Grande,2006-11-01 00:00:01.0,------------------------,------------------------
413,-46.628.423,-23.541.539,Rio Tamanduateí - Mercado Municipal,2006-11-01 00:00:01.0,33768,33767
503,-46.656.168,-23.552.718,Sé - CGE (PMSP/SE-01),2010-03-04 19:36:06.0,------------------------,------------------------
511,-4.656.667,-23.67,Rudge Ramos,2006-11-01 00:00:01.0,33848,------------------------
524,-46.560.179,-23.583.219,Vila Prudente - Oratório (PMSP/VP-01),2013-04-19 16:00:00.0,-------------------------,------------------------
563,-46.627.853,-23.619.963,Córrego Ipiranga - Pç. Leonor Kaupa (PMSP/IP-02),2014-02-06 17:20:00.0,33847,33846
629,-46.597.368,-23.595.544,Córrego Moinho Velho  - R. Dois de Julho (PMSP/IP-03),2015-03-06 13:00:00.0,33851,33850
705,-46.588.237,-23.589.799,Rio Tamanduateí - Montante AT -09 Guamiranga,2006-11-01 00:10:00.0,-------------------------,-------------------------
706,-46.589.832,-23.588.704,AT - 09 Guamiranga / Área - 02 e 03,2017-01-23 15:50:00.0,-------------------------,-------------------------
707,-46.592.043,-23.588.408,AT -09 Guamiranga / Área 01,2017-05-22 16:20:00.0,-------------------------,-------------------------
708,-46.592.951,-23.587.659,Rio Tamanduateí - Jusante AT - 09 Guamiranga,2006-11-02 01:50:00.0,-------------------------,-------------------------
730,-46.641.216,-23.549.218,Corrego Saracura Av. 9 de Julho,2018-09-06 15:00:00.0,-------------------------,-------------------------
731,-46.638.226,-23.547.488,Córrego Anhangabaú - Av. 23 de Maio,2006-11-01 00:10:00.0,-------------------------,-------------------------
780,-46.627.876,-23.573.744,Parque da Aclimação,2019-02-12 14:50:00.0,-------------------------,-------------------------
810,-46.572.947,-23.582.929,Córrego Mooca - Vila Prudente,2006-11-01 00:02:00.0,-------------------------,-------------------------
